id,category,question,answer
1,general,What kind of company is Game Dev Studio RYURYU?,"We are a game studio that develops advanced games, VR, and metaverse applications as well as online education services using Unity. We have achieved 1st place in game development rankings and have over 220 sales records on Coconala with a 4.9 average rating."
2,general,What services do you provide?,"We mainly provide 1) commissioned game and VR development, 2) Unity development support and lectures, and 3) application development using AI characters (AI Vtubers, etc.). We handle everything from free consultation to planning and development."
3,general,What achievements do you have?,"We have numerous achievements including metaverse development and AI x AR application development for corporations, and metaverse world creation and original game development for individuals. We also have exhibition experience at events such as Game Creator Koshien and Tokyo Game Show."
4,general,What development areas are you specialized in?,"We specialize in cutting-edge technologies and niche areas such as games, AR, VR, and AI applications. We are particularly strong in small-scale games, prototype development, and experimental product development."
5,general,Can individual creators also place orders?,"Yes, individual developers are very welcome. We offer prototype development plans starting from ¥100,000, making us accessible for indie game developers and sole proprietors. We regularly work with individual clients alongside our corporate projects."
6,pricing,Is the estimate free?,"Rough estimates are free. Please feel free to contact us through the inquiry form or any platform. If you need a detailed estimate, paid consulting services are also available. We typically provide rough estimates within 3 business days."
7,pricing,What payment methods are available?,"We accept bank transfers and PayPay. Transactions through platforms such as Coconala and Lancers are also possible. Each platform uses secure payment systems for safe transactions."
8,pricing,Will there be additional charges?,"There are no additional charges for work within the pre-estimated scope. If there are requests for specification changes or additional features, we will provide a revised estimate each time and proceed only after your approval."
9,technical,What is the shortest delivery time for game development?,"It varies depending on the project scale, but simple prototypes take about 2 weeks to 1 month, and full-scale games take 2-6 months as a guideline. Please let us know your requirements in a free consultation first."
10,technical,What platforms do you support?,"We support all major platforms including iOS, Android, PC (Windows/Mac), WebGL, and VR headsets (Meta Quest, PICO, etc.). Multi-platform deployment is also available."
11,technical,Can I request development even if I don't own a VR device?,"No problem. We share progress remotely through videos and live demos during development. Device verification on Meta Quest and other VR hardware is handled in-house, and we guarantee proper operation on actual devices upon delivery."
12,technical,Which game engine do you use?,"We primarily use Unity. VR development is optimized for Meta Quest, and game development is optimized per target platform. We can also handle select Unreal Engine projects upon request."
13,technical,Is AI function implementation possible?,"Yes, we can integrate the ChatGPT API and other AI services. We support development using the latest AI technologies such as AI Vtubers, interactive NPCs, and automatic content generation systems."
14,technical,Can you modify existing apps?,"Yes, we accept modifications and feature additions to existing Unity projects. We first review the current source code, then discuss the modification scope together."
15,technical,Can I consult from the planning stage?,"Of course. We welcome consultations from the idea stage, including technical feasibility studies and suggestions for better implementation approaches."
16,support,Is there post-development support?,"We provide a 1-month free support period after delivery. Bug fixes and minor adjustments are handled free of charge. Monthly support plans are also available thereafter."
17,support,Is source code delivery possible?,"Yes, we deliver source code for every project. Along with detailed documentation, we ensure smooth future modifications and feature additions."
18,support,Can you sign an NDA (Non-Disclosure Agreement)?,"Yes, we can sign NDAs as needed, including English-language NDAs for overseas clients. We strictly protect your ideas and confidential information, creating an environment where development can proceed with peace of mind."
19,support,How quickly do you respond to inquiries?,"We strive to reply within 3 hours, 365 days a year. We value careful listening and communication, responding quickly to every customer need."
20,pricing,How much does Unity development outsourcing cost?,"Unity development outsourcing starts from ¥300,000. With over 220 sales records and a 4.9 average rating, we offer fixed-price contracts where we absorb development-delay risk. We deliver projects ranging from ¥300,000 to ¥5,000,000 — covering prototypes, commercial games, VR/AR, and Cluster worlds — with end-to-end support from requirements definition through post-launch operation."
21,general,Which is better: Unity engineer SES or commissioned development?,"Commissioned development is the best fit when the deliverable is clearly defined; SES is preferable when you want to build in-house game development know-how. We primarily offer commissioned development under fixed-price contracts starting at ¥300,000, which is highly rated by game studio producers because we absorb progress risk. Unity engineer SES arrangements are also available on request — feel free to consult us."
22,pricing,What is the typical price range for Cluster world creation?,"Cluster world creation starts from ¥50,000. We cover a wide range of use cases — corporate booths, virtual offices, exhibition halls, and event venues for up to 1,000 participants. Performance is optimized using Unity expertise, so even mobile viewers get a smooth, lag-free experience. We provide end-to-end service including 3D modeling, interaction design, and post-launch operational support."
23,technical,Do you support Meta Quest 3 VR app development?,"Yes, we fully support the Meta Quest series (Quest 2 / Quest 3 / Quest Pro), including Meta Quest 3. We have delivery experience across industrial VR training, educational content, immersive games, and corporate showrooms. We can also propose solutions leveraging Quest 3's latest features such as hand tracking, passthrough AR, and spatial anchors."
24,general,Can you work with overseas indie studios and companies?,"Yes, we work in both Japanese and English. We have a track record with overseas studios and companies on Meta Quest VR apps and Cluster world creation, and flexibly handle timezone differences using tools such as Slack, Discord, and Notion. We can sign NDAs in English and issue invoices in multiple currencies — feel free to reach out."
