id,text,author,platform,rating
1,Thank you for teaching me so carefully. My son said you were the easiest mentor to understand among all the mentors he has been taught by. Please help us again.,mayumi s.,MENTA,5
2,They worked on a game project that I wanted to make but didn't know anything about and had left abandoned. It's really nice to see it taking shape little by little! I thought it would never be completed so I was really happy.,Torii,Coconala,5
3,It works successfully! Thank you for the fixes and package integration! Looking forward to working with you again.,grant_qazwsx,Coconala,5
4,The response speed is consistently fast. I felt I could trust them with the work. During the meeting they asked detailed questions about what was needed for production making it easy to talk and solidify my image.,Torii,Coconala,5
5,Thank you for perfectly answering my requests! If there's an opportunity to cooperate again please let me know.,akn25,Coconala,5
6,You met my deadline wishes and created the system exactly as requested. I'm very satisfied. Thank you!,akn25,Coconala,5
7,Despite being a game with complex rules you handled it carefully. Thank you. Looking forward to continuing to work with you.,Santa Chessman,Coconala,5
8,Through careful listening you were able to propose exactly what I wanted within the deadline. Thank you!,chiyodaponzu,Coconala,5
9,Very helpful. The development was fast and careful. I'm grateful for the finish that exceeded my expectations.,TIKEZ,Coconala,5
10,Good that my problem was solved. I found an asset substitute that I couldn't find after searching for an hour. Thank you for the quick response.,Nabe1,Coconala,5
11,The way you accurately grasp requests is wonderful. The communication before starting work is smooth and what I was looking for is completed perfectly.,system32recordings,Coconala,5
12,Once again you boldly challenged difficult system development. I've repeated orders 8 times now.,Corporate Client,Lancers,5
13,Even with difficult challenges you worked patiently on problem-solving and were able to advance the project significantly. Thank you.,Corporate Client,Lancers,5
