id,text,author,platform,rating
1,とても丁寧に教えていただきありがとうございました。息子が今まで教えてもらったメンターさんの中で一番、わかりやすかったと言っていました。また是非、よろしくお願い致します。,mayumi s.様,メンタ,5
2,作ってみたくても何も分からず放置されていたゲームプロジェクトに手を付けていただきました。少しずつ形になっていく様を見るのはやはり嬉しいものですね！絶対に完成しないものだと思っていたので本当に嬉しかったです。,トリイ様,ココナラ,5
3,無事動作致しました！修正とパッケージの統合もありがとうございました！またよろしくお願いいたします。,grant_qazwsx様,ココナラ,5
4,安定の返信速度の早さです。安心して任せられると思いました。会議時には制作に必要なことを細かく聞いてきて頂けたので話しやすく、自分のイメージも固めやすかったです。,トリイ様,ココナラ,5
5,要望に対して完璧に答えてくださりありがとうございました！またご協力いただける機会がありましたらよろしくお願いいたします。,akn25様,ココナラ,5
6,納期の希望にも応えていただき、要望通りのシステムを作成してくださって大変満足しております。ありがとうございました！,akn25様,ココナラ,5
7,ルールが複雑なゲームですが丁寧な対応をしていただきありがとうございます。これからもよろしくお願い致します。,サン田チェス人様,ココナラ,5
8,丁寧なヒアリングを通して希望通りの内容を納期内でご提案いただけました。ありがとうございました！,chiyodaponzu様,ココナラ,5
9,とても助かりました。開発も早く丁寧でした。期待以上の仕上がりに感謝しています。,TIKEZ様,ココナラ,5
10,困りごと解決したのでよかったです。1時間調べて見つからないアセット代用が見つかりました。素早い対応ありがとうございます。,なべ1様,ココナラ,5
11,依頼を正確にとらえる感じがすばらしいです。作業開始までのやりとりがスムーズで求めていたものがきっちりと出来上がります。,system32recordings様,ココナラ,5
12,今回も難しいシステム開発に果敢に挑戦していただきました。8回もリピートさせていただいています。,企業様,ランサーズ,5
13,難しい取り組みに対してもじっくり問題解決に務めてくださって、プロジェクトを大きく前進させることができました。ありがとうございます。,企業様,ランサーズ,5
