id,date,category,title,description,link,isNew
20,2026.04.28,update,Meta Quest 3が価格改定｜VR開発外注の固定価格制で予算リスクをゼロに,"2026年4月19日よりMeta Quest 3・Quest 3SがRAMコスト高騰で値上げ（Quest 3S: $299.99→$349.99）。ハードウェア費用が増す中、開発費を固定価格制で管理できるゲーム開発所RYURYUのMeta Quest向けVRアプリ外注・受託開発をご活用ください。",https://techcrunch.com/2026/04/16/meta-raises-quest-3-and-quest-3s-prices-due-to-ram-shortage/,TRUE
19,2026.04.25,update,Unity×AIで無料AIVTuberを個人自作する全工程を公開,VRoid Studio・VOICEVOX・AITuberKitなど無料ツールのみでAIVTuberを0円で動かす全手順をnoteに公開しました。Unity開発・AI活用に興味のある方はぜひ。,https://note.com/ryuryu_game/n/n628f9d3fd9f5,TRUE
18,2026.04.18,achievement,Meta Quest 3向けVR開発の外注・受託実績が220件を突破 — 2026年春の制作枠を公開,Unity × Meta Quest 3のVR開発やClusterワールド制作など、ゲーム開発の外注・受託実績が220件を突破しました。2026年春の制作枠を受付中です。,#contact,TRUE
16,2026.04.02,update,非公式なのに公式を超えた？uLoopMCPがコミュニティで熱狂される理由,Unity開発者コミュニティで話題のuLoopMCPについて、非公式ツールが注目される理由と技術的背景をZennに公開しました。,https://zenn.dev/ryuryu_game/articles/2026-04-02-uloopmcp-community-attention,TRUE
17,2026.04.01,update,Unity公式がAI連携に本気を出した｜Claude Code × Unity MCPで開発フローが変わる,Unity公式のAI連携機能とClaude Code × Unity MCPを活用した開発フロー改善について解説したZenn記事を公開しました。,https://zenn.dev/ryuryu_game/articles/2026-04-01-unity-official-mcp-complete-guide,TRUE
0,2026.02.15,achievement,AIVTuber（AITuber）自動配信システム納品,お客様のキャラクターデータを活用した24時間YouTube自動ライブ配信システムを納品。AIが自動で会話生成・コメント返信を行い、Unityでビルドしたシステムとして提供しました。,,TRUE
1,2025.08.31,service,ガイドキャスト受託開発サービス開始,AIを活用したガイドキャストの受託開発サービスを新たに開始しました。,#services,TRUE
2,2023.12.31,achievement,年間売上530万円を達成,2023年の年間売上が530万円を達成しました。ご支援いただいた皆様に感謝申し上げます。,,FALSE
3,2023.08.15,achievement,ココナラ累計売上200万円達成,ココナラでの累計売上が200万円を突破いたしました。クライアント様のご信頼に感謝いたします。,,FALSE
4,2022.06.01,service,個人事業主として正式開業,正式に開業届を提出し、個人事業主としての活動をスタートいたしました。,,FALSE
5,2022.03.15,service,ココナラサービス提供開始,クラウドソーシングプラットフォーム「ココナラ」でのサービス提供を開始いたしました。,#services,FALSE
