id,date,category,title,description,link,isNew
21,2026.04.29,update,Meta Horizon Worlds VR Shutting Down June 2026 | Migrate to Cluster with RYURYU,"Meta is ending Horizon Worlds on Meta Quest on June 15 2026 (store removed March 31). RYURYU supports your migration to Cluster for corporate metaverse and virtual events — Unity-based Cluster world creation from ¥50,000 / 1 week.",https://www.moguravr.com/meta-horizon-worlds-vr-end-2026/,TRUE
20,2026.04.28,update,Meta Quest 3 Price Hike | Lock In Your VR Budget with Fixed-Price Outsourcing,"Meta raised Quest 3 and Quest 3S prices on April 19 2026 (Quest 3S: $299.99 → $349.99) due to RAM shortages. As hardware costs rise RYURYU's fixed-price VR development outsourcing keeps your project budget predictable from day one.",https://techcrunch.com/2026/04/16/meta-raises-quest-3-and-quest-3s-prices-due-to-ram-shortage/,TRUE
19,2026.04.25,update,Published: Full Guide to Building a Free AIVTuber with Unity and AI,"We published a step-by-step note guide on building a free AIVTuber using VRoid Studio, VOICEVOX, and AITuberKit — all with zero budget required.",https://note.com/ryuryu_game/n/n628f9d3fd9f5,TRUE
18,2026.04.18,achievement,220+ VR/AR Project Milestone — 2026 Spring Slots Now Open,"Unity × Meta Quest 3 VR development and Cluster world creation projects have surpassed 220 total deliveries. Spring 2026 project slots are now open.",#contact,TRUE
16,2026.04.02,update,Unofficial But Better Than Official? Why uLoopMCP Is Going Viral,We published a Zenn article on why the unofficial uLoopMCP tool is gaining massive community attention and its technical background.,https://zenn.dev/ryuryu_game/articles/2026-04-02-uloopmcp-community-attention,TRUE
17,2026.04.01,update,Unity Goes All-In on AI | How Claude Code × Unity MCP Changes Development,We published a Zenn article on Unity's official AI integration features and how Claude Code × Unity MCP improves development workflows.,https://zenn.dev/ryuryu_game/articles/2026-04-01-unity-official-mcp-complete-guide,TRUE
0,2026.02.15,achievement,AI VTuber (AITuber) Auto-Streaming System Delivered,We delivered a 24-hour YouTube auto-streaming system utilizing customer character data. The system features AI-powered conversation generation and comment responses built with Unity.,,TRUE
1,2025.08.31,service,Guide Cast Development Service Launched,We have launched a new commissioned development service for guide casts utilizing AI.,#services,TRUE
2,2023.12.31,achievement,Annual Sales of 5.3 Million Yen Achieved,We achieved annual sales of 5.3 million yen in 2023. We thank everyone for their support.,,FALSE
3,2023.10.30,achievement,Monthly Sales of 800000 Yen Achieved,We achieved monthly sales of 800000 yen in October. Thank you for your support in our business growth.,,FALSE
4,2023.08.15,achievement,2 Million Yen Total Sales on Coconala,Our total sales on Coconala have exceeded 2 million yen. We appreciate our clients trust.,,FALSE
5,2022.06.01,service,Officially Started as Sole Proprietor,We officially submitted our business registration and started activities as a sole proprietor.,,FALSE
6,2022.03.15,service,Started Coconala Service,We have started providing services on the crowdsourcing platform Coconala.,#services,FALSE
