id,category,question,answer
1,general,ゲーム開発所RYURYUとはどのような会社ですか？,"Unityを駆使した先進的な「ゲーム・VR・メタバース開発」や「オンライン教育サービス」を展開するゲームスタジオです。ゲーム開発ランキング1位の実績を持ち、ココナラでは220件以上の販売実績があります。"
2,general,どのようなサービスを提供していますか？,"主に①ゲーム・VRの受託開発、②Unity開発のサポート・レクチャー、③AIキャラクターを利用したアプリケーション（AI Vtuberなど）の開発を提供しています。無料相談から企画、開発まで一貫して担当します。"
3,general,どのような実績がありますか？,"法人向けにはメタバース開発やAI×ARアプリケーション開発、個人向けにはメタバースワールド制作やオリジナルゲーム開発など多数の実績があります。また、ゲームクリエイター甲子園や東京ゲームショウなどのイベントにも出展経験があります。"
4,general,得意な開発分野は何ですか？,"ゲーム、AR、VR、AIアプリケーションなどの最先端技術やニッチな分野の開発に特化しています。特に小規模なゲームやプロトタイプ開発、実験的なプロダクト開発に強みを持っています。"
5,general,個人でも依頼できますか？,"はい、個人開発者様も大歓迎です。10万円から始められるプロトタイプ開発プランをご用意しています。インディーゲーム開発者や個人事業主の方々からのご依頼も多数承っております。"
6,pricing,見積もりは無料ですか？,"概算のお見積もりは無料です。お問い合わせフォームまたは各プラットフォームからお気軽にご相談ください。詳細な見積もりが必要な場合は、有料コンサルティングサービスをご利用いただくことも可能です。概算見積もりは3営業日以内にご提示します。"
7,pricing,支払い方法について教えてください,"お支払い方法は銀行振込とPayPayに対応しております。また、ココナラやランサーズなどのプラットフォーム経由でのお取引も可能です。各プラットフォームのセキュアな決済システムを利用しているため、安全にお取引いただけます。"
8,pricing,追加料金が発生することはありますか？,"事前にお見積もりした範囲内の作業については追加料金は発生しません。仕様変更や追加機能のご要望がある場合は、都度お見積もりをご提示し、ご了承いただいてから作業を行います。"
9,technical,ゲーム開発の最短納期はどのくらいですか？,"プロジェクトの規模により異なりますが、シンプルなプロトタイプであれば2週間〜1ヶ月程度、本格的なゲームは2〜6ヶ月が目安です。まずは無料相談でご要望をお聞かせください。"
10,technical,どのようなプラットフォームに対応していますか？,"iOS、Android、PC（Windows/Mac）、WebGL、VRヘッドセット（MetaQuest、PICO等）など、主要なプラットフォームすべてに対応しています。マルチプラットフォーム展開も可能です。"
11,technical,VRデバイスを持っていないのですが開発依頼できますか？,"問題ありません。開発中はリモートでの確認や、動画での進捗共有も可能です。Meta Questをはじめとする各種VRデバイスでの動作確認は当社で行い、完成後は実機での動作を保証いたします。"
12,technical,どのゲームエンジンを使用していますか？,"主にUnityを使用しています。VR開発はMeta Quest向けに最適化、ゲーム開発は各プラットフォームに最適化して開発します。Unreal Engineでの開発にも一部対応可能です。"
13,technical,AI機能の実装は可能ですか？,"ChatGPT APIやその他のAIサービスとの連携実装が可能です。AI Vtuber、対話型NPC、自動生成システムなど、最新のAI技術を活用した開発に対応しています。"
14,technical,既存アプリの改修は可能ですか？,"はい、既存のUnityプロジェクトの改修や機能追加も承っています。まずは現状のソースコードを確認させていただき、改修内容についてご相談させていただきます。"
15,technical,企画段階から相談できますか？,"もちろん可能です。アイデア段階からの相談も歓迎しています。技術的な実現可能性の検討や、より良い実装方法のご提案など、企画立案からサポートいたします。"
16,support,開発後のサポートはありますか？,"納品後1ヶ月間の無料サポート期間を設けています。バグ修正や軽微な調整は無料で対応いたします。その後も月額サポートプランをご用意しています。"
17,support,ソースコードの納品は可能ですか？,"はい、すべてのプロジェクトでソースコードを納品いたします。詳細なドキュメントと合わせて、今後の改修や機能追加がスムーズに行えるようサポートします。"
18,support,NDA（秘密保持契約）は締結できますか？,"はい、必要に応じてNDAの締結が可能です。お客様の大切なアイデアや情報を厳重に管理し、安心して開発を進められる環境を整えています。"
19,support,連絡対応はどのくらい早いですか？,"365日、3時間以内の迅速な返信を心がけています。丁寧なヒアリングとコミュニケーションを大切にし、お客様のニーズに素早く対応いたします。"
20,pricing,Unity開発の外注費用はいくらからですか？,"Unity開発の外注は¥300,000から承っています。実績220件以上・平均4.9評価の固定価格制で、開発遅延リスクを当社側で負担。プロトタイプから商用ゲーム、VR/AR、Clusterワールドまで¥300,000〜¥5,000,000の幅で対応し、要件定義から運用サポートまでワンストップで提供します。"
21,general,UnityエンジニアSESと受託開発ではどちらがおすすめですか？,"成果物が明確なプロジェクトなら受託開発、社内にゲーム開発ノウハウを残したいならSESがおすすめです。当社は¥300,000〜の固定価格制で受託開発を中心に提供しており、進捗リスクを負担するためゲーム会社のプロデューサー様から高評価をいただいています。UnityエンジニアSES形式にも柔軟に対応可能ですのでご相談ください。"
22,pricing,Clusterワールド制作の料金相場を教えてください,"Clusterワールド制作は¥50,000から承ります。企業ブース・バーチャルオフィス・展示会場・最大1000人規模のイベント会場まで幅広く対応。Unity知見を活かしたパフォーマンス最適化で、モバイル視聴者でもカクつきなく体験できる設計を標準装備しています。3Dモデリング・インタラクション設計・公開後の運用サポートまでワンストップです。"
23,technical,Meta Quest 3向けVRアプリ開発に対応していますか？,"はい、Meta Quest 3を含むMeta Questシリーズ（Quest 2 / Quest 3 / Quest Pro）に標準対応しています。産業用VRトレーニング、教育コンテンツ、没入型ゲーム、企業向けショールームなど幅広い用途で開発実績があり、ハンドトラッキング・パススルーAR・空間アンカーなどQuest 3の最新機能を活用した提案も可能です。"
24,general,海外のインディースタジオや企業からの依頼にも対応できますか？,"はい、日本語と英語の両方で対応可能です。Meta Quest向けVRアプリやClusterワールド制作で海外スタジオ・海外企業とのお取引実績があり、SlackやDiscord、Notionなどのツールを使ってタイムゾーンの違いにも柔軟に対応します。NDAの英文締結や多通貨請求にも対応できますのでお気軽にご相談ください。"
